although (conj)	in spite of the fact that	Although he was tired, he kept working.	aunque	a2 conjunction top200
have a good time (chunk)	to enjoy oneself	We had a good time at the party.	pasarlo bien	a2 chunk
do the dishes (chunk)	to wash plates	Who's doing the dishes tonight?	fregar los platos	a2 chunk
make a decision (chunk)	to decide	You need to make a decision.	tomar una decisión	a2 chunk
government (n)	the group of people who rule a country	The government raised taxes.	gobierno	a2 noun freq:top200
become (v)	to start to be	She became a teacher.	convertirse en	a2 verb irregular freq:top50
leave (v)	to go away from	I leave at 8am.	salir/irse/dejar	a2 verb irregular freq:top50
keep (v)	to retain	Keep this for me.	guardar/mantener	a2 verb irregular freq:top50
seem (v)	to appear to be	You seem tired.	parecer	a2 verb freq:top50
turn (v)	to rotate; to become	Turn left at the corner.	girar	a2 verb freq:top50
move (v)	to change position	Don't move!	mover/mudarse	a2 verb freq:top50
hold (v)	to grip with hands	Can you hold this?	sostener/aguantar	a2 verb irregular freq:top50
bring (v)	to carry to a place	Bring your books.	traer	a2 verb irregular freq:top50
stand (v)	to be on one's feet	I stood up.	estar de pie/ponerse en pie	a2 verb irregular freq:top100
include (v)	to contain as part	The price includes breakfast.	incluir	a2 verb freq:top100
continue (v)	to keep doing	Please continue your work.	continuar	a2 verb freq:top100
set (v)	to put in a place	Set the table, please.	poner/colocar	a2 verb irregular freq:top100
create (v)	to make something new	He created a beautiful painting.	crear	a2 verb freq:top100
spend (v)	to use time or money	I spent ten dollars.	gastar/pasar (tiempo)	a2 verb irregular freq:top100
grow (v)	to become bigger	Children grow fast.	crecer	a2 verb irregular freq:top100
offer (v)	to present for acceptance	He offered me a job.	ofrecer	a2 verb freq:top100
serve (v)	to provide a service	This restaurant serves Italian food.	servir	a2 verb freq:top100
die (v)	to stop living	The flower died.	morir	a2 verb freq:top100
send (v)	to dispatch	Send me an email.	enviar	a2 verb irregular freq:top100
build (v)	to construct	They built a new house.	construir	a2 verb irregular freq:top100
fall (v)	to drop downward	Be careful, don't fall!	caer	a2 verb irregular freq:top100
cut (v)	to divide with a sharp tool	Cut the bread, please.	cortar	a2 verb irregular freq:top100
kill (v)	to cause to die	The frost killed the plants.	matar	a2 verb freq:top100
raise (v)	to lift up	Raise your hand.	levantar/subir	a2 verb freq:top100
pass (v)	to go past; to give	Pass me the salt.	pasar	a2 verb freq:top100
pull (v)	to move toward you	Pull the door, don't push it.	tirar de	a2 verb freq:top100
carry (v)	to transport	Can you carry this bag?	llevar	a2 verb freq:top100
receive (v)	to get	I received your letter.	recibir	a2 verb freq:top100
agree (v)	to share an opinion	I agree with you.	estar de acuerdo	a2 verb freq:top100
hit (v)	to strike	The car hit a tree.	golpear	a2 verb irregular freq:top100
cover (v)	to put over	Cover the food, please.	cubrir	a2 verb freq:top100
catch (v)	to grab moving	Catch the ball!	atrapar	a2 verb irregular freq:top100
draw (v)	to make a picture; to pull	She draws beautifully.	dibujar	a2 verb irregular freq:top100
choose (v)	to select	Choose any one you like.	elegir	a2 verb irregular freq:top100
join (v)	to become part of	I joined the team.	unirse	a2 verb freq:top200
add (v)	to put more	Add some salt.	añadir	a2 verb freq:top200
prepare (v)	to make ready	I'm preparing dinner.	preparar	a2 verb freq:top200
own (adj)	belonging to oneself	I have my own room.	propio	a2 adjective freq:top100
few (adj)	a small number	A few people came.	pocos	a2 adjective freq:top100
public (adj)	available to everyone	A public park.	público	a2 adjective freq:top100
able (adj)	capable	I am able to swim.	capaz	a2 adjective freq:top100
real (adj)	actual, not fake	Is this a real diamond?	real	a2 adjective freq:top100
heavy (adj)	weighing a lot	A heavy bag.	pesado	a2 adjective freq:top200
quick (adj)	fast	A quick lunch.	rápido	a2 adjective freq:top200
slow (adj)	not fast	A slow train.	lento	a2 adjective freq:top200
through (prep)	in one side and out the other	We walked through the park.	a través de	a2 preposition freq:top50
during (prep)	throughout a period of time	I slept during the flight.	durante	a2 preposition freq:top50
ever (adv)	at any time	Have you ever been to Japan?	alguna vez	a2 adverb freq:top50
take off (phr)	to remove (clothing); to fly away	Take off your shoes.	quitarse/despegar	a2 phrasal-verb
go on (phr)	to continue	Please go on, I'm listening.	continuar	a2 phrasal-verb
area (n)	a region or topic	This is an area of research I enjoy.	área	a2 awl sublist1
percent (n)	one part in a hundred	Ten percent of students passed.	por ciento	a2 awl sublist1
similar (adj)	alike but not identical	We have similar opinions.	similar	a2 awl sublist1
chapter (n)	a main division of a book	Read chapter five.	capítulo	a2 awl sublist2
culture (n)	the way of life of a people	English culture.	cultura	a2 awl sublist2
normal (adj)	usual	Normal behavior.	normal	a2 awl sublist2
select (v)	to choose	Select the best option.	seleccionar	a2 awl sublist2
text (n)	written words	Read the text carefully.	texto	a2 awl sublist2
tradition (n)	a long-established custom	A family tradition.	tradición	a2 awl sublist2
