riuscire (v.)	arrivare a fare (riuscire A)	Non sono riuscito a dormire.	lograr, conseguir	a2 verb top500 preposition
impiego (s.m.)	posto di lavoro retribuito	Ho trovato un nuovo impiego.	empleo	a2 noun work
azienda (s.f.)	organizzazione economica	Lavoro in una piccola azienda.	empresa	a2 noun work
capo (s.m.)	chi dirige; anche un capo di vestiario	Il mio capo è esigente.	jefe	a2 noun work keyword
riunione (s.f.)	incontro di lavoro	La riunione è alle dieci.	reunión	a2 noun work
stipendio (s.m.)	pagamento mensile	Lo stipendio è discreto.	sueldo	a2 noun work
curriculum (s.m.)	documento con l'esperienza	Ho mandato il curriculum ieri.	currículum	a2 noun work
colloquio (s.m.)	conversazione di valutazione	Ho un colloquio di lavoro.	entrevista	a2 noun work falsefriend
scadenza (s.f.)	data limite	La scadenza è venerdì.	plazo, vencimiento	a2 noun work
orario (s.m.)	organizzazione del tempo	Il mio orario è flessibile.	horario	a2 noun work
ferie (s.f.pl.)	periodo di riposo dal lavoro	Prendo le ferie a gennaio.	vacaciones	a2 noun work
festivo (s.m./adj.)	giorno non lavorativo	Lunedì è festivo.	festivo	a2 noun time
compleanno (s.m.)	data di nascita	Il mio compleanno è a marzo.	cumpleaños	a2 noun time
festa (s.f.)	celebrazione	La festa è stata bellissima.	fiesta	a2 noun social
invito (s.m.)	richiesta di partecipare	Ho ricevuto un invito al matrimonio.	invitación	a2 noun social
regalo (s.m.)	oggetto donato	Ho comprato un regalo per lei.	regalo	a2 noun social
fidanzato / fidanzata (s.)	partner romantico	Il mio fidanzato è insegnante.	novio	a2 noun social
matrimonio (s.m.)	unione; la cerimonia	Il matrimonio è sabato.	boda, matrimonio	a2 noun social
vicino / vicina (s.)	chi abita accanto	I miei vicini sono simpatici.	vecino	a2 noun people
bolletta (s.f.)	documento di pagamento (luce, gas)	È arrivata la bolletta della luce.	factura	a2 noun money
tassa (s.f.)	denaro versato allo Stato	Le tasse sono alte.	impuesto	a2 noun money
affitto (s.m.)	pagamento mensile della casa	L'affitto è aumentato.	alquiler	a2 noun money
sconto (s.m.)	riduzione del prezzo	C'è lo sconto per studenti?	descuento	a2 noun shopping
risparmi (s.m.pl.)	denaro messo da parte	Ho usato i risparmi.	ahorros	a2 noun money
debito (s.m.)	ciò che si deve	Ha molti debiti.	deuda	a2 noun money
notizia (s.f.)	informazione su un fatto	Ho visto la notizia al telegiornale.	noticia	a2 noun media
giornale (s.m.)	pubblicazione di notizie	Leggo il giornale la mattina.	periódico	a2 noun media
rivista (s.f.)	pubblicazione periodica	Ho comprato una rivista.	revista	a2 noun media
sito (s.m.)	pagina internet	L'ho visto sul sito.	sitio web	a2 noun tech
password (s.f.)	codice di accesso	Ho dimenticato la password.	contraseña	a2 noun tech
file (s.m.)	documento digitale	Ti mando il file per mail.	archivo	a2 noun tech
schermo (s.m.)	superficie di visualizzazione	Lo schermo si è rotto.	pantalla	a2 noun tech
rete (s.f.)	connessione; reti sociali	La rete è lenta oggi.	red	a2 noun tech
lento / lenta (adj.)	che richiede tempo	La connessione è molto lenta.	lento	a2 adj
veloce (adj.)	rapido	Parla troppo veloce.	rápido	a2 adj
pieno / piena (adj.)	senza spazio libero	L'autobus era pieno.	lleno	a2 adj
vuoto / vuota (adj.)	senza niente dentro	Il frigo è vuoto.	vacío	a2 adj
pulito / pulita (adj.)	senza sporco	La camera è pulita.	limpio	a2 adj
sporco / sporca (adj.)	con sporcizia	Le scarpe sono sporche.	sucio	a2 adj
forte (adj.)	con forza; intenso	Il caffè è troppo forte.	fuerte	a2 adj
debole (adj.)	senza forza	Mi sento debole.	débil	a2 adj
occupato / occupata (adj.)	con molti impegni	Sono occupato adesso.	ocupado	a2 adj
libero / libera (adj.)	disponibile	Sei libero domani?	libre	a2 adj
divertente (adj.)	che fa divertire	È una persona divertente.	divertido	a2 adj feelings
noioso / noiosa (adj.)	che annoia	Questo film è noioso.	aburrido	a2 adj feelings
simpatico / simpatica (adj.)	gradevole nei modi	I tuoi vicini sono simpatici.	simpático	a2 adj feelings
cattivo / cattiva (adj.)	di qualità negativa; malvagio	Il tempo è cattivo oggi.	malo	a2 adj
pronto / pronta (adj.)	preparato; «pronto?» al telefono	La cena è pronta.	listo	a2 adj
stesso / stessa (adj.)	identico	Abbiamo lo stesso problema.	mismo	a2 adj
