eventually (adv)	in the end, after a long time	Eventually, she found a job.	finalmente	b1 adverb
design (n/v)	a plan; to create a plan	A good design.	diseño/diseñar	b1 awl sublist2
element (n)	a component	A key element of success.	elemento	b1 awl sublist2
evaluate (v)	to judge the value of	Evaluate your options.	evaluar	b1 awl sublist2
feature (n/v)	a distinctive characteristic	A key feature of the design.	característica	b1 awl sublist2
focus (n/v)	the center of interest	The focus of the study.	enfoque/enfocarse	b1 awl sublist2
injure (v)	to harm	He injured his leg.	lesionar	b1 awl sublist2
institute (n/v)	an organization; to set up	A research institute.	instituto/instaurar	b1 awl sublist2
invest (v)	to put money into	Invest in your education.	invertir	b1 awl sublist2
item (n)	a single article	Each item on the list.	artículo	b1 awl sublist2
journal (n)	a periodical; a diary	A scientific journal.	revista/diario	b1 awl sublist2
maintain (v)	to keep up	Maintain a good attitude.	mantener	b1 awl sublist2
obtain (v)	to get	Obtain permission first.	obtener	b1 awl sublist2
participate (v)	to take part	Participate in the discussion.	participar	b1 awl sublist2
positive (adj)	favorable; sure	A positive attitude.	positivo	b1 awl sublist2
potential (n/adj)	possibility	She has great potential.	potencial	b1 awl sublist2
previous (adj)	earlier	The previous chapter.	previo	b1 awl sublist2
primary (adj)	first in order or importance	The primary cause.	principal/primario	b1 awl sublist2
purchase (v/n)	to buy	Purchase tickets online.	comprar/compra	b1 awl sublist2
range (n)	a set within limits	A wide range of options.	rango/gama	b1 awl sublist2
region (n)	an area	A coastal region.	región	b1 awl sublist2
relevant (adj)	connected to the matter	A relevant question.	relevante	b1 awl sublist2
resource (n)	a useful supply	Natural resources.	recurso	b1 awl sublist2
secure (adj/v)	safe; to obtain	A secure connection.	seguro/asegurar	b1 awl sublist2
seek (v)	to look for	Seek help when needed.	buscar	b1 awl sublist2
strategy (n)	a plan	A new strategy.	estrategia	b1 awl sublist2
survey (n/v)	a study; to examine broadly	A market survey.	encuesta/encuestar	b1 awl sublist2
transfer (v/n)	to move to another place	Transfer the file here.	transferir/traslado	b1 awl sublist2
alternative (n/adj)	another option	An alternative approach.	alternativa	b1 awl sublist3
comment (n/v)	a remark; to make a remark	Leave a comment below.	comentario/comentar	b1 awl sublist3
component (n)	a part of a whole	Each component matters.	componente	b1 awl sublist3
contrast (n/v)	a difference; to compare	In contrast to...	contraste	b1 awl sublist3
debate (n/v)	a discussion; to discuss	A heated debate.	debate/debatir	b1 awl sublist3
demonstrate (v)	to show clearly	Demonstrate the technique.	demostrar	b1 awl sublist3
deny (v)	to refuse; to declare untrue	I deny the charges.	negar	b1 awl sublist3
enable (v)	to make possible	Enable the feature.	permitir/habilitar	b1 awl sublist3
ensure (v)	to make certain	Ensure your safety first.	asegurar	b1 awl sublist3
exclude (v)	to leave out	Exclude irrelevant data.	excluir	b1 awl sublist3
expand (v)	to grow larger	Expand the section.	expandir	b1 awl sublist3
external (adj)	outside	An external factor.	externo	b1 awl sublist3
initial (adj)	first	The initial idea was good.	inicial	b1 awl sublist3
internal (adj)	inside	An internal review.	interno	b1 awl sublist3
license (n/v)	official permission	Driver's license.	licencia	b1 awl sublist3
mature (adj/v)	fully developed	A mature decision.	maduro/madurar	b1 awl sublist3
overall (adj/adv)	general; in general	The overall result was good.	general/en general	b1 awl sublist3
philosophy (n)	the study of fundamental questions	A philosophy class.	filosofía	b1 awl sublist3
predict (v)	to forecast	Predict the future.	predecir	b1 awl sublist3
principal (adj/n)	main; head of school	The principal reason.	principal	b1 awl sublist3
publish (v)	to make public	Publish the article.	publicar	b1 awl sublist3
recover (v)	to get back; to heal	She recovered quickly.	recuperar	b1 awl sublist3
transform (v)	to change completely	Transform your life.	transformar	b1 awl sublist3
panel (n)	a group of experts	A panel of judges.	panel	b1 awl sublist10
access (n/v)	the right or way to reach something	Students have access to the library.	acceso/acceder	b1 noun awl
adjust (v)	to change slightly to fit better	Adjust the volume, please.	ajustar	b1 verb awl
affect (v)	to influence or change	Noise affects concentration.	afectar	b1 verb awl
annual (adj)	happening once a year	the annual report	anual	b1 adjective awl
apparent (adj)	easy to see or understand	It became apparent that he was right.	aparente/evidente	b1 adjective awl
appreciate (v)	to value; to understand fully	I appreciate your help.	apreciar/valorar	b1 verb awl
arise (v)	to happen or appear	A problem arose during the test.	surgir	b1 verb awl irregular
aware (adj)	knowing about something	Are you aware of the risk?	consciente	b1 adjective awl
brief (adj)	short in time or length	a brief explanation	breve	b1 adjective awl
capable (adj)	able to do something	She's capable of much more.	capaz	b1 adjective awl
commit (v)	to promise to do; to do something wrong	He committed to the plan.	comprometerse	b1 verb awl
communicate (v)	to share information	We communicate by email.	comunicar	b1 verb awl
concentrate (v)	to focus your attention	I can't concentrate with the noise.	concentrarse	b1 verb awl
confirm (v)	to say that something is definitely true	Please confirm your booking.	confirmar	b1 verb awl
conflict (n)	a serious disagreement	a conflict between the two groups	conflicto	b1 noun awl
constant (adj)	happening all the time; not changing	constant interruptions	constante	b1 adjective awl
contact (v/n)	to communicate with someone	Contact us for more information.	contactar/contacto	b1 verb awl
contemporary (adj)	of the present time	contemporary music	contemporáneo	b1 adjective awl
contribute (v)	to give a part to something	Everyone contributed ideas.	contribuir	b1 verb awl
convert (v)	to change into another form	Convert the file to PDF.	convertir	b1 verb awl
core (n/adj)	the most important part	the core of the argument	núcleo/central	b1 noun awl
correspond (v)	to match; to exchange letters	The numbers don't correspond.	corresponder	b1 verb awl
crisis (n)	a time of great difficulty (pl. crises)	an economic crisis	crisis	b1 noun awl irregular-plural
cycle (n)	a series of events that repeat	the sleep cycle	ciclo	b1 noun awl
decade (n)	a period of ten years	over the last decade	década	b1 noun awl
detect (v)	to discover or notice	The test detects small changes.	detectar	b1 verb awl
dimension (n)	a measurement or aspect	another dimension of the problem	dimensión	b1 noun awl
display (v/n)	to show	The screen displays the results.	mostrar/pantalla	b1 verb awl
diverse (adj)	very different from each other	a diverse group of students	diverso	b1 adjective awl
document (n/v)	a written record; to record	Save the document.	documento/documentar	b1 noun awl
domestic (adj)	of the home or a country's own	domestic flights	doméstico/nacional	b1 adjective awl
dominate (v)	to be the strongest	One theory dominated the field.	dominar	b1 verb awl
draft (n/v)	a first version	This is only a first draft.	borrador	b1 noun awl
dramatic (adj)	sudden and noticeable	a dramatic improvement	drástico/espectacular	b1 adjective awl
dynamic (adj)	always changing; full of energy	a dynamic classroom	dinámico	b1 adjective awl
enforce (v)	to make people obey a rule	The rule is rarely enforced.	hacer cumplir	b1 verb awl
enormous (adj)	extremely large	an enormous difference	enorme	b1 adjective awl
equivalent (adj/n)	equal in value or meaning	There is no exact equivalent.	equivalente	b1 adjective awl
error (n)	a mistake	a common error among learners	error	b1 noun awl
ethical (adj)	morally right	an ethical decision	ético	b1 adjective awl
evolve (v)	to develop gradually	The language has evolved.	evolucionar	b1 verb awl
exceed (v)	to be greater than a limit	Costs exceeded the budget.	exceder/superar	b1 verb awl
exhibit (v)	to show publicly or display a quality	He exhibits great patience.	exhibir/mostrar	b1 verb awl
expert (n/adj)	someone with special knowledge	an expert in phonetics	experto	b1 noun awl
expose (v)	to make visible or subject to	Learners must be exposed to real speech.	exponer	b1 verb awl
extract (v/n)	to take out; a short passage	an extract from the novel	extraer/extracto	b1 verb awl
flexible (adj)	able to change easily	flexible working hours	flexible	b1 adjective awl
framework (n)	a basic structure of ideas	a theoretical framework	marco	b1 noun awl
gender (n)	the state of being male or female	gender differences in the data	género	b1 noun awl
generation (n)	all the people born around the same time	the younger generation	generación	b1 noun awl
guarantee (v/n)	to promise something will happen	Practice doesn't guarantee fluency.	garantizar	b1 verb awl
guideline (n)	advice on how to do something	follow the guidelines	directriz/pauta	b1 noun awl
highlight (v)	to draw attention to	The study highlights a gap.	destacar/resaltar	b1 verb awl
hence (adv)	for this reason	It rained; hence the delay.	por tanto	b1 adverb awl formal
illustrate (v)	to show with an example	This case illustrates the point.	ilustrar	b1 verb awl
impose (v)	to force something on someone	They imposed a new rule.	imponer	b1 verb awl
index (n)	an alphabetical list; a measure	Check the index at the back.	índice	b1 noun awl
initiative (n)	a new plan; the ability to act alone	a government initiative	iniciativa	b1 noun awl
insight (n)	a clear understanding	The study offers useful insight.	perspicacia/visión	b1 noun awl
instance (n)	an example or case	in this instance	caso/instancia	b1 noun awl
intense (adj)	very strong	intense concentration	intenso	b1 adjective awl
interact (v)	to communicate or act together	Learners interact in pairs.	interactuar	b1 verb awl
justify (v)	to give a good reason for	How do you justify that claim?	justificar	b1 verb awl
layer (n)	a level or thickness	another layer of meaning	capa	b1 noun awl
lecture (n)	a formal talk to teach	a lecture on phonology	conferencia/clase magistral	b1 noun awl
link (v/n)	to connect	The two ideas are linked.	vincular/enlace	b1 verb awl
locate (v)	to find the position of	Can you locate the error?	localizar	b1 verb awl
logical (adj)	sensible and reasonable	a logical conclusion	lógico	b1 adjective awl
mechanism (n)	a process or system that produces a result	the mechanism behind forgetting	mecanismo	b1 noun awl
media (n)	newspapers, TV and internet together	social media	medios de comunicación	b1 noun awl
mental (adj)	of the mind	mental effort	mental	b1 adjective awl
minimal (adj)	very small in amount	minimal effort	mínimo	b1 adjective awl
minor (adj)	small and not important	a minor error	menor/leve	b1 adjective awl
modify (v)	to change slightly	We modified the design.	modificar	b1 verb awl
monitor (v)	to watch and check over time	Monitor your progress weekly.	supervisar/controlar	b1 verb awl
negative (adj)	bad or harmful; saying no	a negative effect	negativo	b1 adjective awl
network (n)	a connected system	a network of contacts	red	b1 noun awl
neutral (adj)	not supporting either side	a neutral tone	neutral	b1 adjective awl
nevertheless (adv)	despite that	It's hard; nevertheless, it works.	no obstante	b1 adverb awl formal
objective (n/adj)	a goal; not influenced by feelings	Our main objective is fluency.	objetivo	b1 noun awl
obvious (adj)	easy to see or understand	an obvious mistake	obvio	b1 adjective awl
option (n)	a choice	You have three options.	opción	b1 noun awl
output (n)	what is produced	language output	producción/salida	b1 noun awl
parallel (adj)	similar and happening at the same time	a parallel process	paralelo	b1 adjective awl
passive (adj)	not active; accepting without acting	passive listening isn't enough	pasivo	b1 adjective awl
perspective (n)	a point of view	from a different perspective	perspectiva	b1 noun awl
phase (n)	a stage in a process	the first phase of learning	fase	b1 noun awl
physical (adj)	of the body or material world	physical exercise	físico	b1 adjective awl
precise (adj)	exact and accurate	the precise meaning	preciso	b1 adjective awl
promote (v)	to encourage; to raise in rank	This promotes autonomy.	promover/ascender	b1 verb awl
proportion (n)	a part compared to the whole	a large proportion of learners	proporción	b1 noun awl
pursue (v)	to continue trying to achieve	She pursued a career in teaching.	perseguir/proseguir	b1 verb awl
quote (v/n)	to repeat someone's exact words	He quoted the author directly.	citar/cita	b1 verb awl
random (adj)	chosen without a pattern	a random sample	aleatorio	b1 adjective awl
react (v)	to respond to something	How did she react?	reaccionar	b1 verb awl
recall (v)	to remember	I can't recall his name.	recordar	b1 verb awl
register (n/v)	the style of language for a situation	an academic register	registro	b1 noun awl
reject (v)	to refuse to accept	They rejected the proposal.	rechazar	b1 verb awl
release (v)	to let go; to make available	They released the results.	liberar/publicar	b1 verb awl
restore (v)	to bring back to a former state	Sleep restores attention.	restaurar/restablecer	b1 verb awl
reverse (v/adj)	to change to the opposite	The trend has reversed.	invertir/inverso	b1 verb awl
revise (v)	to change or study again	Revise your draft.	revisar/repasar	b1 verb awl
route (n)	a way from one place to another	the fastest route	ruta	b1 noun awl
schedule (n/v)	a plan of times	a tight schedule	horario/programar	b1 noun awl
shift (n/v)	a change; a work period	a shift in attention	cambio/turno	b1 noun awl
somewhat (adv)	a little; to some degree	somewhat surprising	algo/un poco	b1 adverb awl
specify (v)	to state exactly	Specify the deadline.	especificar	b1 verb awl
stable (adj)	not likely to change	a stable result	estable	b1 adjective awl
statistic (n)	a number from collected data	an alarming statistic	estadística	b1 noun awl
status (n)	position or state	the status of the application	estado/estatus	b1 noun awl
stress (n/v)	pressure; to emphasise	He stressed the importance of input.	estrés/enfatizar	b1 noun awl
submit (v)	to give in for consideration	Submit your essay by Friday.	entregar/presentar	b1 verb awl
summary (n)	a short version of the main points	Write a brief summary.	resumen	b1 noun awl
survive (v)	to continue to live or exist	Few languages survive isolation.	sobrevivir	b1 verb awl
suspend (v)	to stop temporarily	The service was suspended.	suspender	b1 verb awl
symbol (n)	a sign that represents something	a phonetic symbol	símbolo	b1 noun awl
target (n/v)	something you aim at	a realistic target	objetivo/meta	b1 noun awl
task (n)	a piece of work to do	a communicative task	tarea	b1 noun awl
technical (adj)	relating to a specific skill or science	technical vocabulary	técnico	b1 adjective awl
technique (n)	a particular way of doing something	a memory technique	técnica	b1 noun awl
temporary (adj)	lasting only a short time	a temporary solution	temporal/provisional	b1 adjective awl
theme (n)	the main subject	the central theme of the text	tema	b1 noun awl
trend (n)	a general direction of change	a growing trend	tendencia	b1 noun awl
trigger (v)	to cause something to start	The word triggered a memory.	desencadenar	b1 verb
ultimate (adj)	final or most important	the ultimate goal	último/definitivo	b1 adjective awl
undertake (v)	to start and take responsibility for	They undertook a large study.	emprender	b1 verb awl irregular
unique (adj)	the only one of its kind	a unique case	único	b1 adjective awl
valid (adj)	based on truth or logic; legally usable	a valid argument	válido	b1 adjective awl
version (n)	a form of something that differs	the latest version	versión	b1 noun awl
via (prep)	by way of; using	We contacted them via email.	a través de	b1 preposition awl
virtual (adj)	existing on a computer	a virtual classroom	virtual	b1 adjective awl
visible (adj)	able to be seen	no visible difference	visible	b1 adjective awl
visual (adj)	relating to seeing	visual memory	visual	b1 adjective awl
volume (n)	amount; loudness	the volume of input	volumen	b1 noun awl
voluntary (adj)	done by choice	voluntary participation	voluntario	b1 adjective awl
whereas (conj)	in contrast to the fact that	He likes reading, whereas she prefers audio.	mientras que	b1 conjunction awl formal
as a result (chunk)	because of that	As a result, prices fell.	como resultado	b1 chunk
in addition (chunk)	also, moreover	In addition, it saves time.	además	b1 chunk
on the other hand (chunk)	used to give a contrasting view	On the other hand, it's cheaper.	por otro lado	b1 chunk
in terms of (chunk)	with regard to	In terms of cost, it's fine.	en cuanto a	b1 chunk
take into account (chunk)	to consider when deciding	Take the deadline into account.	tener en cuenta	b1 chunk
play a role (chunk)	to have an effect or function	Sleep plays a key role.	jugar un papel	b1 chunk
to some extent (chunk)	partly	That's true to some extent.	en cierta medida	b1 chunk
bear in mind that (chunk)	remember that	Bear in mind that it's optional.	ten en cuenta que	b1 chunk
give rise to (chunk)	to cause	The change gave rise to complaints.	dar lugar a	b1 chunk
in the long run (chunk)	over a long period	It's cheaper in the long run.	a la larga	b1 chunk
