发展 (fāzhǎn)	变得更大更好	公司发展得很快。(Gōngsī fāzhǎn de hěn kuài.)	desarrollar(se)	b1 verb hsk3 work
节约 (jiéyuē)	少花钱或少用	我们要节约用水。(Wǒmen yào jiéyuē yòng shuǐ.)	ahorrar	b1 verb money
花 (huā)	用掉钱或时间	我花了很多钱。(Wǒ huā le hěn duō qián.)	gastar	b1 verb hsk3 money
退 (tuì)	返回；退货、退钱	我想退这件衣服。(Wǒ xiǎng tuì zhè jiàn yīfu.)	devolver	b1 verb shopping
交 (jiāo)	递交；缴纳	我交了报告。(Wǒ jiāo le bàogào.)	entregar; pagar	b1 verb hsk3 keyverb
推迟 (tuīchí)	改到更晚	会议推迟了。(Huìyì tuīchí le.)	posponer	b1 verb hsk3
取消 (qǔxiāo)	不再进行	航班取消了。(Hángbān qǔxiāo le.)	cancelar	b1 verb hsk3
预约 (yùyuē)	提前约定	我预约了医生。(Wǒ yùyuē le yīshēng.)	pedir cita	b1 verb
挑战 (tiǎozhàn)	困难但值得做的事	学汉语是个挑战。(Xué Hànyǔ shì ge tiǎozhàn.)	desafío	b1 noun
目标 (mùbiāo)	想达到的结果	我的目标是住在中国。(Wǒ de mùbiāo shì zhù zài Zhōngguó.)	objetivo	b1 noun hsk3
结果 (jiéguǒ)	最后得到的	结果很好。(Jiéguǒ hěn hǎo.)	resultado	b1 noun hsk3
后果 (hòuguǒ)	（不好的）结果	我们承担后果。(Wǒmen chéngdān hòuguǒ.)	consecuencia	b1 noun
优点 (yōudiǎn)	好的方面	优点是很灵活。(Yōudiǎn shì hěn línghuó.)	ventaja	b1 noun hsk3
缺点 (quēdiǎn)	不好的方面	缺点是太贵。(Quēdiǎn shì tài guì.)	desventaja	b1 noun hsk3
风险 (fēngxiǎn)	可能受损失	有延误的风险。(Yǒu yánwù de fēngxiǎn.)	riesgo	b1 noun
方案 (fāng'àn)	具体的计划	我们找到了方案。(Wǒmen zhǎodào le fāng'àn.)	plan, solución	b1 noun
建议书 (jiànyìshū)	正式的提议文件	建议书通过了。(Jiànyìshū tōngguò le.)	propuesta	b1 noun work
调查 (diàochá)	了解情况；问卷	我做了一个调查。(Wǒ zuò le yí ge diàochá.)	investigación; encuesta	b1 noun hsk3
数据 (shùjù)	数字信息	数据显示下降。(Shùjù xiǎnshì xiàjiàng.)	datos	b1 noun
报告 (bàogào)	写出结果的文件	我写了月度报告。(Wǒ xiě le yuèdù bàogào.)	informe	b1 noun hsk3 work
看法 (kànfǎ)	对事情的观点	我的看法不同。(Wǒ de kànfǎ bù tóng.)	punto de vista	b1 noun hsk3
生活费 (shēnghuófèi)	生活需要的花费	这里生活费很高。(Zhèli shēnghuófèi hěn gāo.)	coste de vida	b1 noun money
高峰期 (gāofēngqī)	人最多的时段	我避开高峰期。(Wǒ bìkāi gāofēngqī.)	hora punta	b1 noun transport
交通 (jiāotōng)	车辆和人的流动	交通很堵。(Jiāotōng hěn dǔ.)	tráfico, transporte	b1 noun hsk3 transport
堵车 (dǔchē)	车走不动	路上堵车两个小时。(Lùshang dǔchē liǎng ge xiǎoshí.)	atasco	b1 verb transport
罚款 (fákuǎn)	因违规交的钱	我被罚款了。(Wǒ bèi fákuǎn le.)	multa	b1 noun transport
政府 (zhèngfǔ)	管理国家的机构	政府通过了法律。(Zhèngfǔ tōngguò le fǎlǜ.)	gobierno	b1 noun civic
法律 (fǎlǜ)	国家的规定	法律一月生效。(Fǎlǜ yī yuè shēngxiào.)	ley	b1 noun civic
权利 (quánlì)	法律给的资格	人人有健康的权利。(Rénrén yǒu jiànkāng de quánlì.)	derecho	b1 noun civic
义务 (yìwù)	应该做的事	投票是我们的义务。(Tóupiào shì wǒmen de yìwù.)	deber, obligación	b1 noun civic
新闻 (xīnwén)	最近发生的事的报道	我看了新闻。(Wǒ kàn le xīnwén.)	noticias	b1 noun hsk3 media
媒体 (méitǐ)	报纸、电视、网络	媒体报道了这件事。(Méitǐ bàodào le zhè jiàn shì.)	medios	b1 noun media
差距 (chājù)	两者之间的距离	收入差距在扩大。(Shōurù chājù zài kuòdà.)	brecha, desigualdad	b1 noun social
住房 (zhùfáng)	居住的地方	住房问题很严重。(Zhùfáng wèntí hěn yánzhòng.)	vivienda	b1 noun social
小区 (xiǎoqū)	住宅区	我住在一个安静的小区。(Wǒ zhù zài yí ge ānjìng de xiǎoqū.)	urbanización, barrio	b1 noun places
郊区 (jiāoqū)	城市外围	他住在郊区。(Tā zhù zài jiāoqū.)	periferia	b1 noun places
环境 (huánjìng)	周围的自然和条件	我们要保护环境。(Wǒmen yào bǎohù huánjìng.)	medio ambiente	b1 noun hsk3
垃圾 (lājī)	不要的东西	我分类扔垃圾。(Wǒ fēnlèi rēng lājī.)	basura	b1 noun hsk3
污染 (wūrǎn)	使环境变坏	空气污染很严重。(Kōngqì wūrǎn hěn yánzhòng.)	contaminación	b1 noun
天气预报 (tiānqì yùbào)	对天气的预测	天气预报说有雨。(Tiānqì yùbào shuō yǒu yǔ.)	pronóstico del tiempo	b1 noun chunk weather
突然 (tūrán)	没有预料地	突然下起雨来。(Tūrán xià qǐ yǔ lái.)	de repente	b1 adv hsk3
渐渐 (jiànjiàn)	一点一点地	我渐渐明白了。(Wǒ jiànjiàn míngbai le.)	poco a poco	b1 adv hsk3
其实 (qíshí)	说出真实情况	其实不是这样。(Qíshí bú shì zhèyàng.)	en realidad	b1 adv hsk3
另外 (lìngwài)	除此之外	另外，还便宜。(Lìngwài, hái piányi.)	además	b1 conj hsk3
不过 (búguò)	但是（较口语）	很好，不过太贵。(Hěn hǎo, búguò tài guì.)	pero, sin embargo	b1 conj hsk3
因此 (yīncǐ)	所以（书面）	下雨，因此取消了。(Xià yǔ, yīncǐ qǔxiāo le.)	por lo tanto	b1 conj
尽管 (jǐnguǎn)	虽然（书面）	尽管很冷，我们还是去了。(Jǐnguǎn hěn lěng…)	a pesar de que	b1 conj grammar
为了 (wèile)	表示目的	为了提高水平，我每天学。(Wèile tígāo shuǐpíng…)	para, con el fin de	b1 prep hsk3 grammar
也就是说 (yě jiù shì shuō)	换句话说	明天，也就是星期二。(Míngtiān, yě jiù shì xīngqī'èr.)	es decir	b1 chunk
甚至 (shènzhì)	表示更进一步	很难，甚至不可能。(Hěn nán, shènzhì bù kěnéng.)	incluso	b1 adv hsk3
尤其 (yóuqí)	特别是	我喜欢音乐，尤其是爵士。(Wǒ xǐhuan yīnyuè, yóuqí shì juéshì.)	sobre todo	b1 adv
大概 (dàgài)	差不多；可能	大概三十个人。(Dàgài sānshí ge rén.)	aproximadamente; probablemente	b1 adv hsk3
目前 (mùqián)	现在这个时候	目前情况很难。(Mùqián qíngkuàng hěn nán.)	actualmente	b1 noun
必要 (bìyào)	不能没有	有必要先确认。(Yǒu bìyào xiān quèrèn.)	necesario	b1 adj
足够 (zúgòu)	数量够用	时间不足够。(Shíjiān bù zúgòu.)	suficiente	b1 adj
能够 (nénggòu)	有能力做	他能够解决。(Tā nénggòu jiějué.)	ser capaz de	b1 verb
日常 (rìcháng)	每天的	这是日常工作。(Zhè shì rìcháng gōngzuò.)	cotidiano	b1 adj
有效 (yǒuxiào)	能产生作用	这个方法很有效。(Zhège fāngfǎ hěn yǒuxiào.)	eficaz	b1 adj
担心 (dānxīn)	怕不好的事发生	我很担心他。(Wǒ hěn dānxīn tā.)	preocuparse	b1 verb hsk3 feelings
失望 (shīwàng)	希望没有实现	我对结果很失望。(Wǒ duì jiéguǒ hěn shīwàng.)	decepcionado	b1 adj feelings
惊讶 (jīngyà)	感到意外	我很惊讶。(Wǒ hěn jīngyà.)	sorprendido	b1 adj feelings
紧张 (jǐnzhāng)	心里不放松	考试前我很紧张。(Kǎoshì qián wǒ hěn jǐnzhāng.)	nervioso	b1 adj hsk3 feelings
老实说 (lǎoshí shuō)	说真话	老实说，我不知道。(Lǎoshí shuō, wǒ bù zhīdào.)	francamente	b1 chunk
几乎 (jīhū)	差一点就	我几乎没睡。(Wǒ jīhū méi shuì.)	casi	b1 adv hsk3
从此 (cóngcǐ)	从那以后	从此他不再来了。(Cóngcǐ tā bú zài lái le.)	desde entonces	b1 adv
以前 (yǐqián)	在那之前	以前他在这儿工作。(Yǐqián tā zài zhèr gōngzuò.)	antes	b1 noun hsk3 time
水平 (shuǐpíng)	能力的高低	他的汉语水平很高。(Tā de Hànyǔ shuǐpíng hěn gāo.)	nivel	b1 noun hsk3
经验 (jīngyàn)	做过事情得到的了解	他有很多工作经验。(Tā yǒu hěn duō gōngzuò jīngyàn.)	experiencia	b1 noun hsk3 work
能力 (nénglì)	能做事的本领	她的能力很强。(Tā de nénglì hěn qiáng.)	capacidad	b1 noun hsk3
态度 (tàidu)	对事情的看法和表现	他的态度很好。(Tā de tàidu hěn hǎo.)	actitud	b1 noun hsk3
习惯 (xíguàn)	经常做的事；适应	我习惯早起。(Wǒ xíguàn zǎo qǐ.)	costumbre; acostumbrarse	b1 noun hsk3
文化 (wénhuà)	一个群体的生活方式	中国文化很丰富。(Zhōngguó wénhuà hěn fēngfù.)	cultura	b1 noun hsk3
社会 (shèhuì)	人们组成的整体	社会在变化。(Shèhuì zài biànhuà.)	sociedad	b1 noun
情况 (qíngkuàng)	事情的状态	情况有点复杂。(Qíngkuàng yǒudiǎn fùzá.)	situación	b1 noun hsk3
