réussir (v.)	arriver à faire (réussir À)	J'ai réussi à le convaincre.	lograr, conseguir	a2 verb top500 preposition
jambe (n.f.)	membre inférieur	Je me suis fait mal à la jambe.	pierna	a2 noun body
bras (n.m.)	membre supérieur	Il s'est cassé le bras.	brazo	a2 noun body
dos (n.m.)	partie arrière du tronc	J'ai mal au dos.	espalda	a2 noun body
gorge (n.f.)	intérieur du cou	J'ai mal à la gorge.	garganta	a2 noun body
emploi (n.m.)	poste de travail	J'ai trouvé un nouvel emploi.	empleo	a2 noun work
entreprise (n.f.)	organisation économique	Je travaille dans une petite entreprise.	empresa	a2 noun work
patron / patronne (n.)	celui qui dirige	Mon patron est exigeant.	jefe	a2 noun work
réunion (n.f.)	rencontre de travail	La réunion est à dix heures.	reunión	a2 noun work
salaire (n.m.)	paiement du travail	Le salaire est correct.	salario	a2 noun work
CV (n.m.)	document avec l'expérience	J'ai envoyé mon CV hier.	currículum	a2 noun work
entretien (n.m.)	conversation d'évaluation ; aussi l'entretien du matériel	J'ai un entretien d'embauche.	entrevista; mantenimiento	a2 noun work keyword
délai (n.m.)	temps accordé	Le délai est vendredi.	plazo	a2 noun work falsefriend
horaire (n.m.)	organisation du temps	Mon horaire est flexible.	horario	a2 noun work
vacances (n.f.pl.)	période de repos (toujours pluriel)	Je prends mes vacances en janvier.	vacaciones	a2 noun work
jour férié (loc.)	jour de congé officiel	Lundi est un jour férié.	día festivo	a2 noun time chunk
anniversaire (n.m.)	date de naissance	Mon anniversaire est en mars.	cumpleaños	a2 noun time
fête (n.f.)	célébration	La fête était géniale.	fiesta	a2 noun social
invitation (n.f.)	demande de participer	J'ai reçu une invitation au mariage.	invitación	a2 noun social
cadeau (n.m.)	objet offert	J'ai acheté un cadeau pour elle.	regalo	a2 noun social
copain / copine (n.)	ami ; petit ami	Mon copain est professeur.	amigo; novio	a2 noun social keyword
mariage (n.m.)	union ; la cérémonie	Le mariage est samedi.	boda	a2 noun social
voisin / voisine (n.)	celui qui habite à côté	Mes voisins sont sympas.	vecino	a2 noun people
facture (n.f.)	document de paiement	La facture est arrivée.	factura	a2 noun money
impôt (n.m.)	argent versé à l'État	Les impôts sont élevés.	impuesto	a2 noun money
loyer (n.m.)	paiement mensuel du logement	Le loyer a augmenté.	alquiler	a2 noun money
réduction (n.f.)	baisse du prix	Il y a une réduction pour les étudiants ?	descuento	a2 noun shopping
compte (n.m.)	compte bancaire ; calcul	J'ai ouvert un compte.	cuenta	a2 noun money
économies (n.f.pl.)	argent mis de côté	J'ai utilisé mes économies.	ahorros	a2 noun money
dette (n.f.)	ce qu'on doit	Il a beaucoup de dettes.	deuda	a2 noun money
nouvelle (n.f.)	information sur un fait	J'ai vu la nouvelle au journal.	noticia	a2 noun media
journal (n.m.)	publication ; le journal télévisé	Je lis le journal le matin.	periódico; telediario	a2 noun media
revue (n.f.)	publication périodique	J'ai acheté une revue.	revista	a2 noun media
site (n.m.)	page internet	Je l'ai vu sur le site.	sitio web	a2 noun tech
mot de passe (loc.)	code d'accès	J'ai oublié mon mot de passe.	contraseña	a2 noun tech chunk
fichier (n.m.)	document numérique	J'ai envoyé le fichier par mail.	archivo	a2 noun tech
écran (n.m.)	surface d'affichage	L'écran est cassé.	pantalla	a2 noun tech
réseau (n.m.)	connexion ; réseaux sociaux	Le réseau est lent aujourd'hui.	red	a2 noun tech
lent / lente (adj.)	qui prend du temps	La connexion est très lente.	lento	a2 adj
rapide (adj.)	qui va vite	Il parle trop rapidement.	rápido	a2 adj
plein / pleine (adj.)	sans place libre	Le bus était plein.	lleno	a2 adj
vide (adj.)	sans rien dedans	Le frigo est vide.	vacío	a2 adj
propre (adj.)	sans saleté ; aussi « son propre »	La chambre est propre. Mon propre livre.	limpio; propio	a2 adj keyword
sale (adj.)	avec de la saleté	Mes chaussures sont sales.	sucio	a2 adj
fort / forte (adj.)	qui a de la force ; intense	Le café est trop fort.	fuerte	a2 adj
faible (adj.)	sans force	Je me sens faible.	débil	a2 adj
occupé / occupée (adj.)	pris par des tâches	Je suis occupé maintenant.	ocupado	a2 adj
libre (adj.)	disponible	Tu es libre demain ?	libre	a2 adj
drôle (adj.)	qui fait rire ; aussi « bizarre »	Il est très drôle. C'est drôle, ça.	graciosos; raro	a2 adj feelings keyword
ennuyeux / ennuyeuse (adj.)	qui n'intéresse pas	Ce film est ennuyeux.	aburrido	a2 adj feelings
sympa (adj.)	agréable (familier)	Tes voisins sont sympas.	simpático, agradable	a2 adj feelings
mauvais / mauvaise (adj.)	de qualité négative	Il fait mauvais aujourd'hui.	malo	a2 adj
prêt / prête (adj.)	préparé	Le dîner est prêt.	listo	a2 adj
