id	front	definition	example	translation	tags
b1-038	expect (v)	to anticipate	I expect to arrive at noon.	esperar (algo)	b1 verb freq:top100
b1-039	reach (v)	to arrive at; extend to	We reached the top.	alcanzar	b1 verb freq:top100
b1-040	remain (v)	to stay in the same condition	The problem remains.	permanecer/quedar	b1 verb freq:top100
b1-041	require (v)	to need	This job requires patience.	requerir	b1 verb freq:top100
b1-042	report (v)	to give an account	Report any problems to me.	informar	b1 verb freq:top100
b1-043	develop (v)	to grow or improve	The country developed quickly.	desarrollar	b1 verb freq:top100
b1-044	support (v)	to help; to hold up	I support your decision.	apoyar	b1 verb freq:top100
b1-045	produce (v)	to make	This factory produces cars.	producir	b1 verb freq:top100
b1-046	cause (v)	to make happen	What caused the accident?	causar	b1 verb freq:top200
b1-047	allow (v)	to permit	Smoking is not allowed.	permitir	b1 verb freq:top200
b1-048	make up (phr)	to invent; to reconcile	She made up the story.	inventar/reconciliarse	b1 phrasal-verb
b1-049	account for (phr)	to explain	How do you account for this?	explicar/justificar	b1 phrasal-verb
b1-050	analyse (v)	to examine in detail	Scientists analyse the data carefully.	analizar	b1 awl sublist1
b1-051	assume (v)	to take for granted	I assume you've read the book.	asumir/dar por sentado	b1 awl sublist1
b1-052	authority (n)	power; an expert	She is an authority on linguistics.	autoridad	b1 awl sublist1
b1-053	benefit (n/v)	advantage; to gain	The benefits of exercise are clear.	beneficio	b1 awl sublist1
b1-054	concept (n)	an abstract idea	The concept is hard to grasp.	concepto	b1 awl sublist1
b1-055	consist (v)	to be made up of	Water consists of hydrogen and oxygen.	consistir en	b1 awl sublist1
b1-056	context (n)	the situation surrounding an event	"In this context, that word means ""happy""."	contexto	b1 awl sublist1
b1-057	contract (n/v)	a legal agreement; to shrink	Sign the contract here.	contrato/contraer	b1 awl sublist1
b1-058	data (n)	information, facts	The data show a clear trend.	datos	b1 awl sublist1
b1-059	define (v)	to state the meaning of	Define your terms.	definir	b1 awl sublist1
b1-060	distribute (v)	to give out	They distributed leaflets.	distribuir	b1 awl sublist1
b1-061	economy (n)	the wealth system of a country	The economy is growing.	economía	b1 awl sublist1
b1-062	environment (n)	surroundings; nature	A friendly work environment.	ambiente/entorno	b1 awl sublist1
b1-063	estimate (n/v)	an approximate calculation	Estimate the cost first.	estimación/estimar	b1 awl sublist1
b1-064	factor (n)	an element contributing to a result	Money is one factor.	factor	b1 awl sublist1
b1-065	finance (n/v)	money management; to fund	I work in finance.	finanzas/financiar	b1 awl sublist1
b1-066	formula (n)	a mathematical rule; a fixed method	The formula is on the board.	fórmula	b1 awl sublist1
b1-067	function (n/v)	purpose; to operate	What is the function of this button?	función/funcionar	b1 awl sublist1
b1-068	identify (v)	to recognize	Identify the main idea.	identificar	b1 awl sublist1
b1-069	income (n)	money received	My income is sufficient.	ingresos	b1 awl sublist1
b1-070	indicate (v)	to point out	The sign indicates the exit.	indicar	b1 awl sublist1
b1-071	individual (n/adj)	a single person; separate	Each individual is unique.	individuo/individual	b1 awl sublist1
b1-072	involve (v)	to include necessarily	The job involves travel.	implicar/conllevar	b1 awl sublist1
b1-073	issue (n/v)	a topic of debate; to publish	That's a serious issue.	asunto/emitir	b1 awl sublist1
b1-074	labour (n)	work; workers	Manual labour is hard.	trabajo/mano de obra	b1 awl sublist1
b1-075	legal (adj)	relating to law	Take legal advice.	legal	b1 awl sublist1
b1-076	major (adj)	important	A major problem.	importante/principal	b1 awl sublist1
b1-077	method (n)	a way of doing something	What method do you use?	método	b1 awl sublist1
b1-078	occur (v)	to happen	The accident occurred yesterday.	ocurrir	b1 awl sublist1
b1-079	period (n)	a length of time	A period of growth.	período	b1 awl sublist1
b1-080	policy (n)	a plan of action	A new education policy.	política/normativa	b1 awl sublist1
b1-081	principle (n)	a basic rule	Principles of physics.	principio	b1 awl sublist1
b1-082	process (n/v)	a series of actions	Learning is a slow process.	proceso/procesar	b1 awl sublist1
b1-083	research (n/v)	systematic study	Research shows that...	investigación	b1 awl sublist1
b1-084	respond (v)	to reply	Please respond by Friday.	responder	b1 awl sublist1
b1-085	role (n)	a function or position	She plays a key role.	papel/función	b1 awl sublist1
b1-086	section (n)	a part of something	The first section is easy.	sección	b1 awl sublist1
b1-087	sector (n)	a branch of industry	The tech sector is growing.	sector	b1 awl sublist1
b1-088	source (n)	where something comes from	Cite your sources.	fuente	b1 awl sublist1
b1-089	specific (adj)	clearly defined	Give specific examples.	específico	b1 awl sublist1
b1-090	structure (n/v)	an organized arrangement	The structure of the essay is good.	estructura/estructurar	b1 awl sublist1
b1-091	theory (n)	a system of ideas	Einstein's theory.	teoría	b1 awl sublist1
b1-092	vary (v)	to differ; to change	Prices vary by season.	variar	b1 awl sublist1
b1-093	achieve (v)	to accomplish	She achieved her goal.	lograr	b1 awl sublist2
b1-094	aspect (n)	a particular side or feature	Every aspect of life.	aspecto	b1 awl sublist2
b1-095	assist (v)	to help	Can I assist you?	asistir	b1 awl sublist2
b1-096	category (n)	a class or division	What category is this?	categoría	b1 awl sublist2
b1-097	community (n)	a group of people living together	Our community supports each other.	comunidad	b1 awl sublist2
b1-098	conclude (v)	to bring to an end; to deduce	I conclude that we should leave.	concluir	b1 awl sublist2
b1-099	conduct (v/n)	to carry out; behavior	Conduct the experiment.	llevar a cabo/conducta	b1 awl sublist2
b1-100	consequence (n)	a result	Face the consequences.	consecuencia	b1 awl sublist2
b1-101	construct (v/n)	to build	Construct an argument.	construir	b1 awl sublist2
b1-102	consume (v)	to use up; to eat	Don't consume too much sugar.	consumir	b1 awl sublist2
b1-103	credit (n/v)	praise; financial trust	You deserve credit for this.	crédito/acreditar	b1 awl sublist2
b1-104	design (n/v)	a plan; to create a plan	A good design.	diseño/diseñar	b1 awl sublist2
b1-105	element (n)	a component	A key element of success.	elemento	b1 awl sublist2
b1-106	evaluate (v)	to judge the value of	Evaluate your options.	evaluar	b1 awl sublist2
b1-107	feature (n/v)	a distinctive characteristic	A key feature of the design.	característica	b1 awl sublist2
b1-108	focus (n/v)	the center of interest	The focus of the study.	enfoque/enfocarse	b1 awl sublist2
b1-109	injure (v)	to harm	He injured his leg.	lesionar	b1 awl sublist2
b1-110	institute (n/v)	an organization; to set up	A research institute.	instituto/instaurar	b1 awl sublist2
b1-111	invest (v)	to put money into	Invest in your education.	invertir	b1 awl sublist2
b1-112	item (n)	a single article	Each item on the list.	artículo	b1 awl sublist2
b1-113	journal (n)	a periodical; a diary	A scientific journal.	revista/diario	b1 awl sublist2
b1-114	maintain (v)	to keep up	Maintain a good attitude.	mantener	b1 awl sublist2
b1-115	obtain (v)	to get	Obtain permission first.	obtener	b1 awl sublist2
b1-116	participate (v)	to take part	Participate in the discussion.	participar	b1 awl sublist2
b1-117	positive (adj)	favorable; sure	A positive attitude.	positivo	b1 awl sublist2
b1-118	potential (n/adj)	possibility	She has great potential.	potencial	b1 awl sublist2
b1-119	previous (adj)	earlier	The previous chapter.	previo	b1 awl sublist2
b1-120	primary (adj)	first in order or importance	The primary cause.	principal/primario	b1 awl sublist2
b1-121	purchase (v/n)	to buy	Purchase tickets online.	comprar/compra	b1 awl sublist2
b1-122	range (n)	a set within limits	A wide range of options.	rango/gama	b1 awl sublist2
b1-123	region (n)	an area	A coastal region.	región	b1 awl sublist2
b1-124	relevant (adj)	connected to the matter	A relevant question.	relevante	b1 awl sublist2
b1-125	resource (n)	a useful supply	Natural resources.	recurso	b1 awl sublist2
b1-126	secure (adj/v)	safe; to obtain	A secure connection.	seguro/asegurar	b1 awl sublist2
b1-127	seek (v)	to look for	Seek help when needed.	buscar	b1 awl sublist2
b1-128	strategy (n)	a plan	A new strategy.	estrategia	b1 awl sublist2
b1-129	survey (n/v)	a study; to examine broadly	A market survey.	encuesta/encuestar	b1 awl sublist2
b1-130	transfer (v/n)	to move to another place	Transfer the file here.	transferir/traslado	b1 awl sublist2
b1-131	alternative (n/adj)	another option	An alternative approach.	alternativa	b1 awl sublist3
b1-132	comment (n/v)	a remark; to make a remark	Leave a comment below.	comentario/comentar	b1 awl sublist3
b1-133	component (n)	a part of a whole	Each component matters.	componente	b1 awl sublist3
b1-134	contrast (n/v)	a difference; to compare	In contrast to...	contraste	b1 awl sublist3
b1-135	debate (n/v)	a discussion; to discuss	A heated debate.	debate/debatir	b1 awl sublist3
b1-136	demonstrate (v)	to show clearly	Demonstrate the technique.	demostrar	b1 awl sublist3
b1-137	deny (v)	to refuse; to declare untrue	I deny the charges.	negar	b1 awl sublist3
b1-138	enable (v)	to make possible	Enable the feature.	permitir/habilitar	b1 awl sublist3
b1-139	ensure (v)	to make certain	Ensure your safety first.	asegurar	b1 awl sublist3
b1-140	exclude (v)	to leave out	Exclude irrelevant data.	excluir	b1 awl sublist3
b1-141	expand (v)	to grow larger	Expand the section.	expandir	b1 awl sublist3
b1-142	external (adj)	outside	An external factor.	externo	b1 awl sublist3
b1-143	initial (adj)	first	The initial idea was good.	inicial	b1 awl sublist3
b1-144	internal (adj)	inside	An internal review.	interno	b1 awl sublist3
b1-145	license (n/v)	official permission	Driver's license.	licencia	b1 awl sublist3
b1-146	mature (adj/v)	fully developed	A mature decision.	maduro/madurar	b1 awl sublist3
b1-147	overall (adj/adv)	general; in general	The overall result was good.	general/en general	b1 awl sublist3
b1-148	philosophy (n)	the study of fundamental questions	A philosophy class.	filosofía	b1 awl sublist3
b1-149	predict (v)	to forecast	Predict the future.	predecir	b1 awl sublist3
b1-150	principal (adj/n)	main; head of school	The principal reason.	principal	b1 awl sublist3
b1-151	publish (v)	to make public	Publish the article.	publicar	b1 awl sublist3
b1-152	recover (v)	to get back; to heal	She recovered quickly.	recuperar	b1 awl sublist3
b1-153	transform (v)	to change completely	Transform your life.	transformar	b1 awl sublist3
b1-154	panel (n)	a group of experts	A panel of judges.	panel	b1 awl sublist10
b1-155	access (n/v)	the right or way to reach something	Students have access to the library.	acceso/acceder	b1 noun awl
b1-156	adjust (v)	to change slightly to fit better	Adjust the volume, please.	ajustar	b1 verb awl
b1-157	affect (v)	to influence or change	Noise affects concentration.	afectar	b1 verb awl
b1-158	annual (adj)	happening once a year	the annual report	anual	b1 adjective awl
b1-159	apparent (adj)	easy to see or understand	It became apparent that he was right.	aparente/evidente	b1 adjective awl
b1-160	appreciate (v)	to value; to understand fully	I appreciate your help.	apreciar/valorar	b1 verb awl
b1-161	arise (v)	to happen or appear	A problem arose during the test.	surgir	b1 verb awl irregular
b1-162	aware (adj)	knowing about something	Are you aware of the risk?	consciente	b1 adjective awl
b1-163	brief (adj)	short in time or length	a brief explanation	breve	b1 adjective awl
b1-164	capable (adj)	able to do something	She's capable of much more.	capaz	b1 adjective awl
b1-165	commit (v)	to promise to do; to do something wrong	He committed to the plan.	comprometerse	b1 verb awl
b1-166	communicate (v)	to share information	We communicate by email.	comunicar	b1 verb awl
b1-167	concentrate (v)	to focus your attention	I can't concentrate with the noise.	concentrarse	b1 verb awl
b1-168	confirm (v)	to say that something is definitely true	Please confirm your booking.	confirmar	b1 verb awl
b1-169	conflict (n)	a serious disagreement	a conflict between the two groups	conflicto	b1 noun awl
b1-170	constant (adj)	happening all the time; not changing	constant interruptions	constante	b1 adjective awl
b1-171	contact (v/n)	to communicate with someone	Contact us for more information.	contactar/contacto	b1 verb awl
b1-172	contemporary (adj)	of the present time	contemporary music	contemporáneo	b1 adjective awl
b1-173	contribute (v)	to give a part to something	Everyone contributed ideas.	contribuir	b1 verb awl
b1-174	convert (v)	to change into another form	Convert the file to PDF.	convertir	b1 verb awl
b1-175	core (n/adj)	the most important part	the core of the argument	núcleo/central	b1 noun awl
b1-176	correspond (v)	to match; to exchange letters	The numbers don't correspond.	corresponder	b1 verb awl
b1-177	crisis (n)	a time of great difficulty (pl. crises)	an economic crisis	crisis	b1 noun awl irregular-plural
b1-178	cycle (n)	a series of events that repeat	the sleep cycle	ciclo	b1 noun awl
b1-179	decade (n)	a period of ten years	over the last decade	década	b1 noun awl
b1-180	detect (v)	to discover or notice	The test detects small changes.	detectar	b1 verb awl
b1-181	dimension (n)	a measurement or aspect	another dimension of the problem	dimensión	b1 noun awl
b1-182	display (v/n)	to show	The screen displays the results.	mostrar/pantalla	b1 verb awl
b1-183	diverse (adj)	very different from each other	a diverse group of students	diverso	b1 adjective awl
b1-184	document (n/v)	a written record; to record	Save the document.	documento/documentar	b1 noun awl
b1-185	domestic (adj)	of the home or a country's own	domestic flights	doméstico/nacional	b1 adjective awl
b1-186	dominate (v)	to be the strongest	One theory dominated the field.	dominar	b1 verb awl
b1-187	draft (n/v)	a first version	This is only a first draft.	borrador	b1 noun awl
b1-188	dramatic (adj)	sudden and noticeable	a dramatic improvement	drástico/espectacular	b1 adjective awl
b1-189	dynamic (adj)	always changing; full of energy	a dynamic classroom	dinámico	b1 adjective awl
b1-190	enforce (v)	to make people obey a rule	The rule is rarely enforced.	hacer cumplir	b1 verb awl
b1-191	enormous (adj)	extremely large	an enormous difference	enorme	b1 adjective awl
b1-192	equivalent (adj/n)	equal in value or meaning	There is no exact equivalent.	equivalente	b1 adjective awl
b1-193	error (n)	a mistake	a common error among learners	error	b1 noun awl
b1-194	ethical (adj)	morally right	an ethical decision	ético	b1 adjective awl
b1-195	evolve (v)	to develop gradually	The language has evolved.	evolucionar	b1 verb awl
b1-196	exceed (v)	to be greater than a limit	Costs exceeded the budget.	exceder/superar	b1 verb awl
b1-197	exhibit (v)	to show publicly or display a quality	He exhibits great patience.	exhibir/mostrar	b1 verb awl
b1-198	expert (n/adj)	someone with special knowledge	an expert in phonetics	experto	b1 noun awl
b1-199	expose (v)	to make visible or subject to	Learners must be exposed to real speech.	exponer	b1 verb awl
b1-200	extract (v/n)	to take out; a short passage	an extract from the novel	extraer/extracto	b1 verb awl
b1-201	flexible (adj)	able to change easily	flexible working hours	flexible	b1 adjective awl
b1-202	framework (n)	a basic structure of ideas	a theoretical framework	marco	b1 noun awl
b1-203	gender (n)	the state of being male or female	gender differences in the data	género	b1 noun awl
b1-204	generation (n)	all the people born around the same time	the younger generation	generación	b1 noun awl
b1-205	guarantee (v/n)	to promise something will happen	Practice doesn't guarantee fluency.	garantizar	b1 verb awl
b1-206	guideline (n)	advice on how to do something	follow the guidelines	directriz/pauta	b1 noun awl
b1-207	highlight (v)	to draw attention to	The study highlights a gap.	destacar/resaltar	b1 verb awl
b1-208	hence (adv)	for this reason	It rained; hence the delay.	por tanto	b1 adverb awl formal
b1-209	illustrate (v)	to show with an example	This case illustrates the point.	ilustrar	b1 verb awl
b1-210	impose (v)	to force something on someone	They imposed a new rule.	imponer	b1 verb awl
b1-211	index (n)	an alphabetical list; a measure	Check the index at the back.	índice	b1 noun awl
b1-212	initiative (n)	a new plan; the ability to act alone	a government initiative	iniciativa	b1 noun awl
b1-213	insight (n)	a clear understanding	The study offers useful insight.	perspicacia/visión	b1 noun awl
b1-214	instance (n)	an example or case	in this instance	caso/instancia	b1 noun awl
b1-215	intense (adj)	very strong	intense concentration	intenso	b1 adjective awl
b1-216	interact (v)	to communicate or act together	Learners interact in pairs.	interactuar	b1 verb awl
b1-217	justify (v)	to give a good reason for	How do you justify that claim?	justificar	b1 verb awl
b1-218	layer (n)	a level or thickness	another layer of meaning	capa	b1 noun awl
b1-219	lecture (n)	a formal talk to teach	a lecture on phonology	conferencia/clase magistral	b1 noun awl
b1-220	link (v/n)	to connect	The two ideas are linked.	vincular/enlace	b1 verb awl
b1-221	locate (v)	to find the position of	Can you locate the error?	localizar	b1 verb awl
b1-222	logical (adj)	sensible and reasonable	a logical conclusion	lógico	b1 adjective awl
b1-223	mechanism (n)	a process or system that produces a result	the mechanism behind forgetting	mecanismo	b1 noun awl
b1-224	media (n)	newspapers, TV and internet together	social media	medios de comunicación	b1 noun awl
b1-225	mental (adj)	of the mind	mental effort	mental	b1 adjective awl
b1-226	minimal (adj)	very small in amount	minimal effort	mínimo	b1 adjective awl
b1-227	minor (adj)	small and not important	a minor error	menor/leve	b1 adjective awl
b1-228	modify (v)	to change slightly	We modified the design.	modificar	b1 verb awl
b1-229	monitor (v)	to watch and check over time	Monitor your progress weekly.	supervisar/controlar	b1 verb awl
b1-230	negative (adj)	bad or harmful; saying no	a negative effect	negativo	b1 adjective awl
b1-231	network (n)	a connected system	a network of contacts	red	b1 noun awl
b1-232	neutral (adj)	not supporting either side	a neutral tone	neutral	b1 adjective awl
b1-233	nevertheless (adv)	despite that	It's hard; nevertheless, it works.	no obstante	b1 adverb awl formal
b1-234	objective (n/adj)	a goal; not influenced by feelings	Our main objective is fluency.	objetivo	b1 noun awl
b1-235	obvious (adj)	easy to see or understand	an obvious mistake	obvio	b1 adjective awl
b1-236	option (n)	a choice	You have three options.	opción	b1 noun awl
b1-237	output (n)	what is produced	language output	producción/salida	b1 noun awl
b1-238	parallel (adj)	similar and happening at the same time	a parallel process	paralelo	b1 adjective awl
b1-239	passive (adj)	not active; accepting without acting	passive listening isn't enough	pasivo	b1 adjective awl
b1-240	perspective (n)	a point of view	from a different perspective	perspectiva	b1 noun awl
b1-241	phase (n)	a stage in a process	the first phase of learning	fase	b1 noun awl
b1-242	physical (adj)	of the body or material world	physical exercise	físico	b1 adjective awl
b1-243	precise (adj)	exact and accurate	the precise meaning	preciso	b1 adjective awl
b1-244	promote (v)	to encourage; to raise in rank	This promotes autonomy.	promover/ascender	b1 verb awl
b1-245	proportion (n)	a part compared to the whole	a large proportion of learners	proporción	b1 noun awl
b1-246	pursue (v)	to continue trying to achieve	She pursued a career in teaching.	perseguir/proseguir	b1 verb awl
b1-247	quote (v/n)	to repeat someone's exact words	He quoted the author directly.	citar/cita	b1 verb awl
b1-248	random (adj)	chosen without a pattern	a random sample	aleatorio	b1 adjective awl
b1-249	react (v)	to respond to something	How did she react?	reaccionar	b1 verb awl
b1-250	recall (v)	to remember	I can't recall his name.	recordar	b1 verb awl
b1-251	register (n/v)	the style of language for a situation	an academic register	registro	b1 noun awl
b1-252	reject (v)	to refuse to accept	They rejected the proposal.	rechazar	b1 verb awl
b1-253	release (v)	to let go; to make available	They released the results.	liberar/publicar	b1 verb awl
b1-254	restore (v)	to bring back to a former state	Sleep restores attention.	restaurar/restablecer	b1 verb awl
b1-255	reverse (v/adj)	to change to the opposite	The trend has reversed.	invertir/inverso	b1 verb awl
b1-256	revise (v)	to change or study again	Revise your draft.	revisar/repasar	b1 verb awl
b1-257	route (n)	a way from one place to another	the fastest route	ruta	b1 noun awl
b1-258	schedule (n/v)	a plan of times	a tight schedule	horario/programar	b1 noun awl
b1-259	shift (n/v)	a change; a work period	a shift in attention	cambio/turno	b1 noun awl
b1-260	somewhat (adv)	a little; to some degree	somewhat surprising	algo/un poco	b1 adverb awl
b1-261	specify (v)	to state exactly	Specify the deadline.	especificar	b1 verb awl
b1-262	stable (adj)	not likely to change	a stable result	estable	b1 adjective awl
b1-263	statistic (n)	a number from collected data	an alarming statistic	estadística	b1 noun awl
b1-264	status (n)	position or state	the status of the application	estado/estatus	b1 noun awl
b1-265	stress (n/v)	pressure; to emphasise	He stressed the importance of input.	estrés/enfatizar	b1 noun awl
b1-266	submit (v)	to give in for consideration	Submit your essay by Friday.	entregar/presentar	b1 verb awl
b1-267	summary (n)	a short version of the main points	Write a brief summary.	resumen	b1 noun awl
b1-268	survive (v)	to continue to live or exist	Few languages survive isolation.	sobrevivir	b1 verb awl
b1-269	suspend (v)	to stop temporarily	The service was suspended.	suspender	b1 verb awl
b1-270	symbol (n)	a sign that represents something	a phonetic symbol	símbolo	b1 noun awl
b1-271	target (n/v)	something you aim at	a realistic target	objetivo/meta	b1 noun awl
b1-272	task (n)	a piece of work to do	a communicative task	tarea	b1 noun awl
b1-273	technical (adj)	relating to a specific skill or science	technical vocabulary	técnico	b1 adjective awl
b1-274	technique (n)	a particular way of doing something	a memory technique	técnica	b1 noun awl
b1-275	temporary (adj)	lasting only a short time	a temporary solution	temporal/provisional	b1 adjective awl
b1-276	theme (n)	the main subject	the central theme of the text	tema	b1 noun awl
b1-277	trend (n)	a general direction of change	a growing trend	tendencia	b1 noun awl
b1-278	trigger (v)	to cause something to start	The word triggered a memory.	desencadenar	b1 verb
b1-279	ultimate (adj)	final or most important	the ultimate goal	último/definitivo	b1 adjective awl
b1-280	undertake (v)	to start and take responsibility for	They undertook a large study.	emprender	b1 verb awl irregular
b1-281	unique (adj)	the only one of its kind	a unique case	único	b1 adjective awl
b1-282	valid (adj)	based on truth or logic; legally usable	a valid argument	válido	b1 adjective awl
b1-283	version (n)	a form of something that differs	the latest version	versión	b1 noun awl
b1-284	via (prep)	by way of; using	We contacted them via email.	a través de	b1 preposition awl
b1-285	virtual (adj)	existing on a computer	a virtual classroom	virtual	b1 adjective awl
b1-286	visible (adj)	able to be seen	no visible difference	visible	b1 adjective awl
b1-287	visual (adj)	relating to seeing	visual memory	visual	b1 adjective awl
b1-288	volume (n)	amount; loudness	the volume of input	volumen	b1 noun awl
b1-289	voluntary (adj)	done by choice	voluntary participation	voluntario	b1 adjective awl
b1-290	whereas (conj)	in contrast to the fact that	He likes reading, whereas she prefers audio.	mientras que	b1 conjunction awl formal
b1-291	as a result (chunk)	because of that	As a result, prices fell.	como resultado	b1 chunk
b1-292	in addition (chunk)	also, moreover	In addition, it saves time.	además	b1 chunk
b1-293	on the other hand (chunk)	used to give a contrasting view	On the other hand, it's cheaper.	por otro lado	b1 chunk
b1-294	in terms of (chunk)	with regard to	In terms of cost, it's fine.	en cuanto a	b1 chunk
b1-295	take into account (chunk)	to consider when deciding	Take the deadline into account.	tener en cuenta	b1 chunk
b1-296	play a role (chunk)	to have an effect or function	Sleep plays a key role.	jugar un papel	b1 chunk
b1-297	to some extent (chunk)	partly	That's true to some extent.	en cierta medida	b1 chunk
b1-298	bear in mind that (chunk)	remember that	Bear in mind that it's optional.	ten en cuenta que	b1 chunk
b1-299	give rise to (chunk)	to cause	The change gave rise to complaints.	dar lugar a	b1 chunk
b1-300	in the long run (chunk)	over a long period	It's cheaper in the long run.	a la larga	b1 chunk
