id	front	definition	example	translation	tags
a1-057	point (n)	a specific moment or idea	At that point, I gave up.	punto	a1 noun freq:top200
a1-058	company (n)	a business organization	She works for a big company.	empresa	a1 noun freq:top200
a1-059	number (n)	a word or symbol for counting	What is your phone number?	número	a1 noun freq:top200
a1-060	group (n)	a set of people or things	A group of students arrived.	grupo	a1 noun freq:top200
a1-061	fact (n)	something that is true	It is a fact that water boils at 100°C.	hecho	a1 noun freq:top200
a1-062	say (v)	to speak words	She said hello.	decir	a1 verb irregular freq:top20
a1-063	know (v)	to have information about	I know the answer.	saber/conocer	a1 verb irregular freq:top20
a1-064	think (v)	to use your mind to consider	I think you're right.	pensar	a1 verb irregular freq:top20
a1-065	take (v)	to grab or carry	Please take your coat.	tomar/coger	a1 verb irregular freq:top20
a1-066	look (v)	to direct your eyes at something	Look at this picture.	mirar	a1 verb freq:top30
a1-067	use (v)	to employ for a purpose	Can I use your pen?	usar	a1 verb freq:top30
a1-068	find (v)	to discover the location of	I can't find my keys.	encontrar	a1 verb irregular freq:top30
a1-069	give (v)	to transfer to someone else	Give me a minute.	dar	a1 verb irregular freq:top30
a1-070	tell (v)	to inform verbally	Tell me the truth.	decir/contar	a1 verb irregular freq:top30
a1-071	call (v)	to phone; to name	I'll call you tomorrow.	llamar	a1 verb freq:top30
a1-072	try (v)	to attempt	Try this dish.	intentar	a1 verb freq:top30
a1-073	ask (v)	to request information	Can I ask you a question?	preguntar	a1 verb freq:top30
a1-074	need (v)	to require	I need help.	necesitar	a1 verb freq:top30
a1-075	feel (v)	to experience an emotion	I feel happy.	sentir	a1 verb irregular freq:top30
a1-076	put (v)	to place somewhere	Put the book on the table.	poner	a1 verb irregular freq:top50
a1-077	mean (v)	to signify	What does this word mean?	significar	a1 verb irregular freq:top50
a1-078	let (v)	to allow	Let me help you.	permitir	a1 verb irregular freq:top50
a1-079	begin (v)	to start	The film begins at 7.	empezar	a1 verb irregular freq:top50
a1-080	help (v)	to assist	Can you help me?	ayudar	a1 verb freq:top50
a1-081	talk (v)	to speak conversationally	We talked for hours.	hablar	a1 verb freq:top50
a1-082	start (v)	to begin	The lesson starts at 9.	empezar	a1 verb freq:top50
a1-083	show (v)	to display	Show me the photo.	mostrar	a1 verb irregular freq:top50
a1-084	hear (v)	to perceive sound	I hear music.	oír	a1 verb irregular freq:top50
a1-085	play (v)	to engage in a game	The children play in the park.	jugar	a1 verb freq:top50
a1-086	run (v)	to move on foot quickly	She runs every morning.	correr	a1 verb irregular freq:top50
a1-087	write (v)	to put words on paper	I write every day.	escribir	a1 verb irregular freq:top50
a1-088	sit (v)	to be on a seat	Please sit down.	sentarse	a1 verb irregular freq:top100
a1-089	lose (v)	to fail to keep	Don't lose your ticket.	perder	a1 verb irregular freq:top100
a1-090	pay (v)	to give money for	I'll pay the bill.	pagar	a1 verb irregular freq:top100
a1-091	meet (v)	to come together with	Let's meet tomorrow.	encontrarse con	a1 verb irregular freq:top100
a1-092	learn (v)	to acquire knowledge	I want to learn English.	aprender	a1 verb freq:top100
a1-093	change (v)	to make different	Change the channel, please.	cambiar	a1 verb freq:top100
a1-094	understand (v)	to grasp the meaning	I don't understand.	entender	a1 verb irregular freq:top100
a1-095	watch (v)	to look at attentively	Watch this video.	ver/observar	a1 verb freq:top100
a1-096	follow (v)	to come after	Follow me!	seguir	a1 verb freq:top100
a1-097	stop (v)	to cease moving	Stop the car!	parar	a1 verb freq:top100
a1-098	speak (v)	to talk	Do you speak English?	hablar	a1 verb irregular freq:top100
a1-099	read (v)	to look at written words and understand	I read every night.	leer	a1 verb irregular freq:top100
a1-100	open (v)	to make accessible	Open the window.	abrir	a1 verb freq:top100
a1-101	walk (v)	to move on foot	Let's walk to the park.	caminar	a1 verb freq:top100
a1-102	win (v)	to achieve victory	Our team won!	ganar	a1 verb irregular freq:top100
a1-103	remember (v)	to recall	I don't remember her name.	recordar	a1 verb freq:top100
a1-104	buy (v)	to purchase	I want to buy a book.	comprar	a1 verb irregular freq:top100
a1-105	stay (v)	to remain	Stay here, please.	quedarse	a1 verb freq:top100
a1-106	sell (v)	to exchange for money	They sell good coffee here.	vender	a1 verb irregular freq:top100
a1-107	return (v)	to come back	When did you return?	volver	a1 verb freq:top100
a1-108	break (v)	to damage in pieces	I broke the glass.	romper	a1 verb irregular freq:top100
a1-109	drive (v)	to operate a vehicle	Can you drive?	conducir	a1 verb irregular freq:top200
a1-110	arrive (v)	to reach a destination	When did you arrive?	llegar	a1 verb freq:top200
a1-111	visit (v)	to go to see	We visited Paris last summer.	visitar	a1 verb freq:top200
a1-112	travel (v)	to journey	I love to travel.	viajar	a1 verb freq:top200
a1-113	first (adj)	number one	This is my first time here.	primero	a1 adjective freq:top100
a1-114	last (adj)	final	The last episode was sad.	último	a1 adjective freq:top100
a1-115	long (adj)	great in length	It's a long road.	largo	a1 adjective freq:top100
a1-116	great (adj)	excellent	Great job!	excelente/genial	a1 adjective freq:top100
a1-117	little (adj)	small	A little water, please.	poco	a1 adjective freq:top100
a1-118	other (adj)	different	I'll take the other one.	otro	a1 adjective freq:top100
a1-119	right (adj)	correct	You are right.	correcto	a1 adjective freq:top100
a1-120	high (adj)	tall; of great elevation	The mountain is high.	alto	a1 adjective freq:top100
a1-121	different (adj)	not the same	We are different.	diferente	a1 adjective freq:top100
a1-122	large (adj)	big	A large pizza, please.	grande	a1 adjective freq:top100
a1-123	next (adj)	coming after	The next train is at 9.	siguiente/próximo	a1 adjective freq:top100
a1-124	early (adj/adv)	before the usual time	I woke up early.	temprano	a1 adjective freq:top100
a1-125	young (adj)	not old	She is young.	joven	a1 adjective freq:top100
a1-126	same (adj)	identical	We have the same idea.	mismo	a1 adjective freq:top100
a1-127	sure (adj)	certain	Are you sure?	seguro	a1 adjective freq:top100
a1-128	free (adj)	without cost; not restricted	The Wi-Fi is free.	gratis/libre	a1 adjective freq:top100
a1-129	strong (adj)	having great power	He is strong.	fuerte	a1 adjective freq:top100
a1-130	true (adj)	in accordance with fact	Is that true?	verdadero	a1 adjective freq:top100
a1-131	black (adj)	color black	A black cat.	negro	a1 adjective freq:top100
a1-132	white (adj)	color white	A white shirt.	blanco	a1 adjective freq:top100
a1-133	red (adj)	color red	A red flower.	rojo	a1 adjective freq:top100
a1-134	green (adj)	color green	Green tea.	verde	a1 adjective freq:top100
a1-135	blue (adj)	color blue	A blue sky.	azul	a1 adjective freq:top100
a1-136	yellow (adj)	color yellow	A yellow taxi.	amarillo	a1 adjective freq:top100
a1-137	beautiful (adj)	very pretty	What a beautiful sunset.	hermoso	a1 adjective freq:top100
a1-138	easy (adj)	not difficult	This exam is easy.	fácil	a1 adjective freq:top100
a1-139	difficult (adj)	hard to do	Math is difficult.	difícil	a1 adjective freq:top100
a1-140	sad (adj)	feeling sorrow	She looks sad.	triste	a1 adjective freq:top100
a1-141	hungry (adj)	wanting food	Are you hungry?	con hambre	a1 adjective freq:top100
a1-142	thirsty (adj)	wanting drink	I am thirsty.	sediento	a1 adjective freq:top100
a1-143	cheap (adj)	low in price	A cheap meal.	barato	a1 adjective freq:top100
a1-144	interesting (adj)	holding attention	An interesting book.	interesante	a1 adjective freq:top100
a1-145	boring (adj)	not interesting	A boring movie.	aburrido	a1 adjective freq:top100
a1-146	friendly (adj)	kind and welcoming	The neighbors are friendly.	amable	a1 adjective freq:top200
a1-147	clean (adj)	free from dirt	A clean kitchen.	limpio	a1 adjective freq:top200
a1-148	dirty (adj)	not clean	Dirty shoes.	sucio	a1 adjective freq:top200
a1-149	busy (adj)	having much to do	I am busy this week.	ocupado	a1 adjective freq:top200
a1-150	quiet (adj)	with little noise	A quiet evening.	silencioso/tranquilo	a1 adjective freq:top200
a1-151	noisy (adj)	full of sound	A noisy street.	ruidoso	a1 adjective freq:top200
a1-152	light (adj/n)	not heavy; brightness	A light backpack.	ligero/luz	a1 adjective freq:top200
a1-153	short (adj)	not long; not tall	A short film.	corto/bajo	a1 adjective freq:top200
a1-154	tall (adj)	great in height	A tall man.	alto	a1 adjective freq:top200
a1-155	of (prep)	belonging to; about	A cup of coffee.	de	a1 preposition freq:top10
a1-156	to (prep)	indicating direction	I'm going to work.	a/hacia	a1 preposition freq:top10
a1-157	for (prep)	indicating purpose	This is for you.	para/por	a1 preposition freq:top10
a1-158	from (prep)	starting at	I'm from Spain.	de/desde	a1 preposition freq:top10
a1-159	about (prep)	concerning	A book about history.	sobre/acerca de	a1 preposition freq:top20
a1-160	by (prep)	near; through means of	A book by Orwell.	por	a1 preposition freq:top20
a1-161	between (prep)	in the space separating	Between you and me.	entre	a1 preposition freq:top50
a1-162	under (prep)	beneath	The cat is under the table.	debajo	a1 preposition freq:top50
a1-163	over (prep)	above	The plane flew over the city.	sobre/encima	a1 preposition freq:top50
a1-164	without (prep)	not having	I can't live without you.	sin	a1 preposition freq:top50
a1-165	also (adv)	in addition	She is also a doctor.	también	a1 adverb freq:top50
a1-166	maybe (adv)	perhaps	Maybe we should leave.	quizás	a1 adverb freq:top50
a1-167	sometimes (adv)	occasionally	Sometimes I cook.	a veces	a1 adverb freq:top50
a1-168	often (adv)	frequently	He often visits us.	a menudo	a1 adverb freq:top50
a1-169	usually (adv)	in most cases	I usually walk to work.	usualmente	a1 adverb freq:top50
a1-170	go for a walk (chunk)	to walk for leisure	Let's go for a walk.	dar un paseo	a1 chunk
a1-171	get up (phr)	to leave bed	I get up at 7am.	levantarse	a1 phrasal-verb
a1-172	turn on (phr)	to activate	Turn on the light, please.	encender	a1 phrasal-verb
a1-173	turn off (phr)	to deactivate	Turn off the TV.	apagar	a1 phrasal-verb
a1-174	look for (phr)	to search	I'm looking for my keys.	buscar	a1 phrasal-verb
a1-175	come back (phr)	to return	Come back soon!	volver	a1 phrasal-verb
a1-176	head (n)	the top part of your body	My head hurts.	cabeza	a1 noun body
a1-177	hair (n)	what grows on your head	She has long hair.	pelo	a1 noun body
a1-178	arm (n)	the part between shoulder and hand	He broke his arm.	brazo	a1 noun body
a1-179	leg (n)	you walk with your legs	My legs are tired.	pierna	a1 noun body
a1-180	foot (n)	the end of your leg (pl. feet)	My feet are cold.	pie	a1 noun body irregular-plural
a1-181	mouth (n)	you eat and speak with it	Open your mouth.	boca	a1 noun body
a1-182	nose (n)	you smell with it	She has a small nose.	nariz	a1 noun body
a1-183	tooth (n)	the white parts in your mouth (pl. teeth)	I brush my teeth twice a day.	diente	a1 noun body irregular-plural
a1-184	face (n)	the front of your head	Wash your face.	cara	a1 noun body
a1-185	ear (n)	you hear with it	My ears hurt on the plane.	oreja/oído	a1 noun body
a1-186	mother (n)	your female parent	My mother is a nurse.	madre	a1 noun family
a1-187	father (n)	your male parent	His father works here.	padre	a1 noun family
a1-188	brother (n)	your male sibling	I have two brothers.	hermano	a1 noun family
a1-189	sister (n)	your female sibling	My sister lives in Cali.	hermana	a1 noun family
a1-190	son (n)	your male child	Their son is five.	hijo	a1 noun family
a1-191	daughter (n)	your female child	My daughter loves books.	hija	a1 noun family
a1-192	husband (n)	the man you are married to	Her husband is a teacher.	marido/esposo	a1 noun family
a1-193	wife (n)	the woman you are married to	My wife speaks German.	esposa	a1 noun family
a1-194	baby (n)	a very young child	The baby is sleeping.	bebé	a1 noun family
a1-195	parents (n)	your mother and father	I live with my parents.	padres	a1 noun family
a1-196	friend (n)	someone you like and know well	She's my best friend.	amigo/a	a1 noun
a1-197	bread (n)	a common food made from flour	I buy bread every morning.	pan	a1 noun food
a1-198	milk (n)	a white drink from cows	A glass of milk, please.	leche	a1 noun food uncountable
a1-199	egg (n)	food that comes from a hen	Two eggs for breakfast.	huevo	a1 noun food
a1-200	cheese (n)	a food made from milk	I like cheese on bread.	queso	a1 noun food uncountable
a1-201	meat (n)	food from animals	I don't eat meat.	carne	a1 noun food uncountable
a1-202	fish (n)	an animal that lives in water; food	We had fish for dinner.	pescado/pez	a1 noun food
a1-203	rice (n)	small white grains you cook	Rice with chicken.	arroz	a1 noun food uncountable
a1-204	fruit (n)	food like apples and bananas	Eat more fruit.	fruta	a1 noun food uncountable
a1-205	apple (n)	a round red or green fruit	An apple a day.	manzana	a1 noun food
a1-206	coffee (n)	a hot dark drink	Two coffees, please.	café	a1 noun food
a1-207	tea (n)	a hot drink made from leaves	I drink tea at night.	té	a1 noun food
a1-208	sugar (n)	a sweet white food	No sugar, thanks.	azúcar	a1 noun food uncountable
a1-209	salt (n)	a white food that makes things salty	Add a little salt.	sal	a1 noun food uncountable
a1-210	breakfast (n)	the first meal of the day	I have breakfast at seven.	desayuno	a1 noun food
a1-211	lunch (n)	the meal in the middle of the day	Lunch is at one.	almuerzo/comida	a1 noun food
a1-212	dinner (n)	the evening meal	We cook dinner together.	cena	a1 noun food
a1-213	room (n)	a space inside a building	My room is small.	habitación/cuarto	a1 noun house
a1-214	kitchen (n)	the room where you cook	She's in the kitchen.	cocina	a1 noun house
a1-215	bathroom (n)	the room with a toilet and shower	Where's the bathroom?	baño	a1 noun house
a1-216	bedroom (n)	the room where you sleep	Two bedrooms and a balcony.	dormitorio	a1 noun house
a1-217	door (n)	you open it to enter	Close the door, please.	puerta	a1 noun house
a1-218	window (n)	the glass opening in a wall	Open the window.	ventana	a1 noun house
a1-219	table (n)	furniture with a flat top	Put it on the table.	mesa	a1 noun house
a1-220	chair (n)	furniture you sit on	Take a chair.	silla	a1 noun house
a1-221	bed (n)	furniture you sleep on	I'm going to bed.	cama	a1 noun house
a1-222	floor (n)	the surface you walk on	The keys are on the floor.	suelo/piso	a1 noun house
a1-223	garden (n)	the outdoor area with plants	We eat in the garden.	jardín	a1 noun house
a1-224	key (n)	you use it to open a lock	I lost my keys.	llave	a1 noun house
a1-225	school (n)	where children study	My school is near here.	escuela/colegio	a1 noun place
a1-226	shop (n)	where you buy things	The shop closes at eight.	tienda	a1 noun place
a1-227	street (n)	a road in a town	I live on this street.	calle	a1 noun place
a1-228	city (n)	a large town	Bogotá is a big city.	ciudad	a1 noun place
a1-229	town (n)	a place smaller than a city	a small town by the sea	pueblo	a1 noun place
a1-230	park (n)	a green public area	We walk in the park.	parque	a1 noun place
a1-231	station (n)	where trains or buses stop	the bus station	estación	a1 noun place
a1-232	airport (n)	where planes arrive and leave	The airport is far.	aeropuerto	a1 noun place
a1-233	hospital (n)	where doctors treat people	She works in a hospital.	hospital	a1 noun place
a1-234	restaurant (n)	where you pay to eat	a good Italian restaurant	restaurante	a1 noun place
a1-235	hotel (n)	where you sleep when travelling	We stayed in a small hotel.	hotel	a1 noun place
a1-236	bank (n)	where you keep money	The bank opens at nine.	banco	a1 noun place
a1-237	market (n)	where people sell food and goods	I buy fruit at the market.	mercado	a1 noun place
a1-238	beach (n)	the sand next to the sea	a day at the beach	playa	a1 noun place
a1-239	country (n)	a nation; land outside cities	Which country are you from?	país/campo	a1 noun place
a1-240	morning (n)	the early part of the day	See you in the morning.	mañana	a1 noun time
a1-241	afternoon (n)	after midday until evening	I work in the afternoon.	tarde	a1 noun time
a1-242	evening (n)	the end of the day	Good evening!	tarde/noche (temprano)	a1 noun time
a1-243	night (n)	when it is dark	I sleep eight hours a night.	noche	a1 noun time
a1-244	today (adv)	on this day	I'm busy today.	hoy	a1 adverb time
a1-245	tomorrow (adv)	on the day after today	See you tomorrow.	mañana (el día)	a1 adverb time
a1-246	yesterday (adv)	on the day before today	I called you yesterday.	ayer	a1 adverb time
a1-247	hour (n)	sixty minutes	It takes two hours.	hora	a1 noun time
a1-248	minute (n)	sixty seconds	Wait a minute.	minuto	a1 noun time
a1-249	month (n)	one of the twelve parts of a year	next month	mes	a1 noun time
a1-250	weekend (n)	Saturday and Sunday	Have a nice weekend!	fin de semana	a1 noun time
a1-251	now (adv)	at this moment	I can't talk now.	ahora	a1 adverb time
a1-252	late (adj/adv)	after the expected time	Sorry I'm late.	tarde	a1 adjective time
a1-253	soon (adv)	in a short time	I'll call you soon.	pronto	a1 adverb time
a1-254	before (prep)	earlier than	Call me before six.	antes de	a1 preposition time
a1-255	after (prep)	later than	after lunch	después de	a1 preposition time
a1-256	teacher (n)	someone who teaches	My teacher is very patient.	profesor/a	a1 noun job
a1-257	student (n)	someone who studies	I'm a student.	estudiante	a1 noun job
a1-258	doctor (n)	someone who treats sick people	I need to see a doctor.	médico/a	a1 noun job
a1-259	boy (n)	a young male	The boy is playing.	niño/chico	a1 noun
a1-260	girl (n)	a young female	The girl is reading.	niña/chica	a1 noun
a1-261	name (n)	what someone is called	What's your name?	nombre	a1 noun
a1-262	car (n)	a vehicle with four wheels	We go by car.	coche/carro	a1 noun transport
a1-263	bus (n)	a large vehicle for many people	I take the bus to work.	autobús/bus	a1 noun transport
a1-264	train (n)	a vehicle that runs on rails	The train is late.	tren	a1 noun transport
a1-265	bike (n)	a vehicle with two wheels and pedals	I ride my bike to school.	bicicleta	a1 noun transport
a1-266	plane (n)	a vehicle that flies	The plane leaves at noon.	avión	a1 noun transport
a1-267	close (v)	to shut	Please close the window.	cerrar	a1 verb
a1-268	cook (v)	to prepare food with heat	I cook every evening.	cocinar	a1 verb
a1-269	cry (v)	to have tears in your eyes	The baby is crying.	llorar	a1 verb
a1-270	dance (v)	to move your body to music	They love to dance.	bailar	a1 verb
a1-271	finish (v)	to complete something	I finish work at five.	terminar	a1 verb
a1-272	jump (v)	to push yourself into the air	The cat jumped on the table.	saltar	a1 verb
a1-273	laugh (v)	to make sounds when something is funny	We laughed a lot.	reír	a1 verb
a1-274	listen (v)	to pay attention to a sound	Listen to this song.	escuchar	a1 verb
a1-275	sing (v)	to make music with your voice	She sings very well.	cantar	a1 verb
a1-276	study (v)	to learn about a subject	I study English at night.	estudiar	a1 verb
a1-277	swim (v)	to move through water	Can you swim?	nadar	a1 verb irregular
a1-278	teach (v)	to help someone learn	She teaches maths.	enseñar	a1 verb irregular
a1-279	wait (v)	to stay until something happens	Wait for me, please.	esperar	a1 verb
a1-280	wash (v)	to clean with water	Wash your hands.	lavar	a1 verb
a1-281	smile (v)	to make a happy face	She smiled at me.	sonreír	a1 verb
a1-282	hard (adj)	difficult; not soft	This exercise is hard.	difícil/duro	a1 adjective
a1-283	soft (adj)	not hard; pleasant to touch	a soft pillow	suave/blando	a1 adjective
a1-284	fast (adj)	moving quickly	a fast car	rápido	a1 adjective
a1-285	full (adj)	containing as much as possible	The bus is full.	lleno	a1 adjective
a1-286	dark (adj)	with little light	It's dark outside.	oscuro	a1 adjective
a1-287	warm (adj)	a little hot, pleasantly	warm water	cálido/templado	a1 adjective
a1-288	wet (adj)	covered in water	My shoes are wet.	mojado	a1 adjective
a1-289	dry (adj)	not wet	The towel is dry.	seco	a1 adjective
a1-290	nice (adj)	pleasant or kind	She's very nice.	agradable/simpático	a1 adjective
a1-291	kind (adj)	caring about others	That was very kind of you.	amable	a1 adjective
a1-292	poor (adj)	having little money	a poor country	pobre	a1 adjective
a1-293	rich (adj)	having a lot of money	a rich family	rico	a1 adjective
a1-294	funny (adj)	making you laugh	a funny film	divertido/gracioso	a1 adjective
a1-295	sweet (adj)	tasting like sugar	The cake is too sweet.	dulce	a1 adjective
a1-296	cool (adj)	a little cold; very good	a cool evening	fresco/genial	a1 adjective
a1-297	this / these (det)	near me: singular / plural	This book, these books.	este / estos	a1 determiner
a1-298	that / those (det)	far from me: singular / plural	That house, those houses.	ese / esos	a1 determiner
a1-299	here (adv)	in this place	Come here.	aquí	a1 adverb
a1-300	there (adv)	in that place	Put it there.	allí	a1 adverb
a1-301	many (det)	a large number of (countable)	many people	muchos	a1 determiner
a1-302	much (det)	a large amount of (uncountable)	much time	mucho	a1 determiner
a1-303	some (det)	an unknown amount	some water	algo de/unos	a1 determiner
a1-304	any (det)	used in questions and negatives	Do you have any questions?	algún/ningún	a1 determiner
a1-305	please (adv)	used to ask politely	Two tickets, please.	por favor	a1 adverb
a1-306	sorry (adj)	used to apologise	Sorry, I'm late.	perdón/lo siento	a1 adverb
a1-307	thank you (chunk)	used to show gratitude	Thank you very much.	gracias	a1 chunk
a1-308	excuse me (chunk)	used to get attention politely	Excuse me, is this free?	perdone/disculpe	a1 chunk
